capturedAt,url,username,nickname,likes,comments,shares,saves,engagement,likeCommentRatio,duration,audio,hashtags,isDuet,isStitch,isAd,postedAt,caption,commentsData_json
"2026-04-12T01:46:21.299Z","https://www.tiktok.com/@marmotsafari/video/7606824254130244878","marmotsafari","marmotsafari","2700000","6176","242600","156000","2948776","437.2","10","","marmotsafari;marmot;planetearth","0","0","0","","#marmotsafari #marmot #planetearth","[{""author"":""aharı"",""cid"":""7607711141158109966"",""likes"":514936,""text"":""HUS-HUS-HUS"",""time"":1771308331},{""author"":""TENHUNNA"",""cid"":""7607766479153431310"",""likes"":632619,""text"":""he lowkey created space on u tho"",""time"":1771321303},{""author"":""4oedell"",""cid"":""7627534994411799326"",""likes"":4,""text"":""That shi said lemme cook …"",""time"":1775923905},{""author"":""✨scøtt✨"",""cid"":""7613626491973190431"",""likes"":8080,""text"":""Nahhhh u need a map??🤣"",""time"":1772685633},{""author"":""big_boulder71"",""cid"":""7618414286456668959"",""likes"":3282,""text"":""Had you like"",""time"":1773800323},{""author"":""Robby Cox"",""cid"":""7608023070103569165"",""likes"":38785,""text"":""Idk bro he was off the screen 🤣"",""time"":1771380922},{""author"":""mike"",""cid"":""7607715712320963358"",""likes"":41265,""text"":"""",""time"":1771309394},{""author"":""glenn.vision_"",""cid"":""7607623393055687454"",""likes"":34386,""text"":"""",""time"":1771287884},{""author"":""Possibly him"",""cid"":""7607668588748505886"",""likes"":2999,""text"":""U"",""time"":1771298409},{""author"":""bdusen"",""cid"":""7607729947256308494"",""likes"":36352,""text"":""Uss Uss Uss"",""time"":1771312732},{""author"":""martin :)"",""cid"":""7608653216226689812"",""likes"":386,""text"":""how bro was moving"",""time"":1771527646},{""author"":""kj$"",""cid"":""7607802146654847774"",""likes"":283799,""text"":""Good defense better offense😭😭"",""time"":1771329559},{""author"":""kiraa 🏳️‍⚧️"",""cid"":""7607871222139552542"",""likes"":93255,""text"":""GENUINELY what does he owe you bro 😭😭😭"",""time"":1771345587},{""author"":""🕴🏽"",""cid"":""7608031660647875349"",""likes"":4272,""text"":""2k likes and i quit vaping"",""time"":1771382925},{""author"":""MikeyTheOne"",""cid"":""7627541521844208397"",""likes"":6,""text"":""Left right??? Nahhhh bro hit the legendary Huss Huss Huss"",""time"":1775925442},{""author"":""red_lip96✨"",""cid"":""7608254452675658527"",""likes"":67373,""text"":""The HUSS HUSS HUSS GOT ME 😂😂😂"",""time"":1771434818},{""author"":""Andrew Ochoa"",""cid"":""7616562882427274015"",""likes"":196,""text"":""huss huss huss"",""time"":1773369259},{""author"":""igotriceonmyleftasscheek"",""cid"":""7627246582497837854"",""likes"":17,""text"":""had you like"",""time"":1775856767},{""author"":""🪐"",""cid"":""7627276681006531342"",""likes"":6,""text"":""HUSSS HUSSS HUSSS"",""time"":1775863758},{""author"":""Chris.cd7"",""cid"":""7607831653368709901"",""likes"":9328,""text"":""That boy moving tho"",""time"":1771336369}]"
"2026-04-12T01:46:13.251Z","https://www.tiktok.com/@amen._.hkt/video/7611928199940836615","amen._.hkt","amen._.hkt","1696","70","123","766","1889","24.2","28","","amenhkt;fitgirl;gaming;techarabic;steam","0","0","0","","⁨	رد بالك تصب لكراك ❌❌البي سي تاعك اغلى من 15 دولار من حق اللعبة ⚪️⚪️••••#amenhkt #fitgirl #gaming #techarabic #steam⁩","[{""author"":""𒉭NEO𒉭🇹🇳"",""cid"":""7612070936700044048"",""likes"":22,""text"":""عندي عامين نهبط فالكراك و ما صار شي ماللي قلتو"",""time"":1772323405},{""author"":""LeBron"",""cid"":""7612370575474574098"",""likes"":5,""text"":""fitgirl repacks mrgla????"",""time"":1772393152},{""author"":""👺🫩🦘"",""cid"":""7612096257923007252"",""likes"":7,""text"":""ahsen haja steamtools"",""time"":1772329292},{""author"":""Hamzuss"",""cid"":""7612139810128462612"",""likes"":2,""text"":""😂 يزي عاد هوا اصحيح كلامك اما فما مواقع غبر آمنة فما مواقع لعباد كل اتهبط منهم انا زادا كيفما fitgirl أو dodi repack فماش كارت قرافيك عادية فماش استعمال كبير كيف كيف الرام استعمال عادي"",""time"":1772339430},{""author"":""Specs Hunter - سبكس هانتر"",""cid"":""7612133841122263825"",""likes"":0,""text"":""هذا الكلو يكون صحيح في حالة كنت تحل في الإنترنت في البيسي و هاذي الحاجة أنا متجنبها لذلك ديما أموري باهية"",""time"":1772338035},{""author"":""je._kx"",""cid"":""7614209532974301970"",""likes"":0,""text"":""chni lcasque mte3k"",""time"":1772821320},{""author"":""Amen Hkt"",""cid"":""7612228357287232264"",""likes"":7,""text"":"""",""time"":1772360037},{""author"":""samir samoorayd"",""cid"":""7624692055834821392"",""likes"":0,""text"":""راسي شاب مالڨيمنڨ ننصح لوخيان كان ثم موقع dodi repak نزل اللعبة و. ألا أشري وقت تخفيظات"",""time"":1775261976},{""author"":""Hama复仇"",""cid"":""7615582256328966920"",""likes"":1,""text"":""صحيح كي تهبطها directly في pc ومن مواقع مش معروفه تصير الحكايه لكن المواقع المعروفين ما فيهمش الحكايه هذه واثنين اللهم عبد ما تفهمش تهبط في games الكراك بطريقه عاديه لازمك تهبطهم third-party os\nاللي حكيت عليه توا هو عباره على ويندوز في ويندوز يعني مش في الpc اللي عندك وما عنده حتى اكسس للداتا اللي عندك لكن يستعمل الجرافيكس اللي عندك باش يخدم الجيمز وكل شيء من غير ما يضر لك الداتا اللي عندك\nوالا الحاجه الثانيه تشري هارد ديسك على جنب للكراكت جيمز وكل ما تخدم جيم تحطه وتلعب وبعد تنحيه وترجع للhard drive الثاني اللي تستعمل فيه\nطبعا لازم الاثنين يكونوا sperate ما يمشوش مع بعضهم"",""time"":1773140927},{""author"":""UwU"",""cid"":""7612630649463145237"",""likes"":1,""text"":""صحيح كلامك وصارتلي"",""time"":1772453791},{""author"":""KHLIFI studio"",""cid"":""7614683662730953480"",""likes"":0,""text"":""ماو واحد كيجي مش يصب لعب بالكراك يشوف الدوسي إذا كان فيه حاج خطير وإلا"",""time"":1772931709},{""author"":""🅗🅐🅡🅞🅤🅝"",""cid"":""7612308263204291329"",""likes"":0,""text"":""kfh dabartha el map ta3 gta ????"",""time"":1772378649},{""author"":""MrSmayer"",""cid"":""7612134152549614357"",""likes"":2,""text"":""يهديك ههه"",""time"":1772338114},{""author"":""x11"",""cid"":""7612279205778424597"",""likes"":0,""text"":""7te fitgirl?"",""time"":1772371876},{""author"":""edits"",""cid"":""7619695471888450321"",""likes"":0,""text"":""ocean of games cv?"",""time"":1774098616},{""author"":""Qqq7"",""cid"":""7612377909773042449"",""likes"":1,""text"":""lyoum brk sabit fifa23 men fitgirl"",""time"":1772394874},{""author"":""never_give_up"",""cid"":""7616250301620044564"",""likes"":0,""text"":""Fama fc26?"",""time"":1773296473},{""author"":""KHALIL"",""cid"":""7612295824858088199"",""likes"":1,""text"":""3mal nstena fi fifa 23 ttsb😂"",""time"":1772375748},{""author"":""jinwoo925"",""cid"":""7612836416833438465"",""likes"":1,""text"":""Steam unlock mrigla?"",""time"":1772501612},{""author"":""Arken_KR"",""cid"":""7612624238433190674"",""likes"":1,""text"":""Fitgirl ✨"",""time"":1772452213}]"
"2026-04-12T01:45:12.613Z","https://www.tiktok.com/","kazii_mp4","kazii_mp4","782100","1406","47500","110600","831006","556.3","11","","whiplashedit;whiplash","0","0","0","","rubs belly#whiplashedit #whiplash","[]"
"2026-04-12T01:45:01.861Z","https://www.tiktok.com/","kazii_mp4","kazii_mp4","782100","1406","47500","110600","831006","556.3","11","","whiplashedit;whiplash","0","0","0","","rubs belly#whiplashedit #whiplash","[]"
"2026-04-12T01:44:51.111Z","https://www.tiktok.com/","kazii_mp4","kazii_mp4","782100","1406","47500","110600","831006","556.3","11","","whiplashedit;whiplash","0","0","0","","rubs belly#whiplashedit #whiplash","[]"
"2026-04-12T01:44:46.967Z","https://www.tiktok.com/","kazii_mp4","kazii_mp4","782100","1406","47500","110600","831006","556.3","11","","whiplashedit;whiplash","0","0","0","","rubs belly#whiplashedit #whiplash","[]"
"2026-04-12T01:44:34.846Z","https://www.tiktok.com/","kazii_mp4","kazii_mp4","782100","1406","47500","110600","831006","556.3","11","","whiplashedit;whiplash","0","0","0","","rubs belly#whiplashedit #whiplash","[]"
"2026-04-12T01:44:28.163Z","https://www.tiktok.com/","imdopemar","imdopemar","771500","3080","176500","48700","951080","250.5","7","","","0","0","0","","Always doing some random bs 😭","[]"
"2026-04-12T01:44:27.257Z","https://www.tiktok.com/","imdopemar","imdopemar","771500","3080","176500","48700","951080","250.5","7","","","0","0","0","","Always doing some random bs 😭","[]"
"2026-04-12T01:44:25.131Z","https://www.tiktok.com/","imdopemar","imdopemar","771500","3080","176500","48700","951080","250.5","7","","","0","0","0","","Always doing some random bs 😭","[]"
